Date,Transaction Details,Type,Amount,Category
"Jun 26, 2024",Paid to Isiri mini mart,DEBIT,20.0,Groceries
"Jun 26, 2024",Paid to Isiri mini mart,DEBIT,35.0,Groceries
"Jun 26, 2024",Paid to HANUMANTHRAJU KIRAN,DEBIT,33.0,Other
"Jun 25, 2024",Paid to Isiri mini mart,DEBIT,66.0,Groceries
"Jun 25, 2024",Paid to,DEBIT,326.0,Other
"Jun 25, 2024",Paid to Burger King India,DEBIT,209.92,Other
"Jun 25, 2024",Paid to SANTHOSH SHETTY,DEBIT,13.0,Other
"Jun 25, 2024",Paid to Sri Brahmalingeshwara Juice & Condiments,DEBIT,15.0,Other
"Jun 24, 2024",Paid to Isiri mini mart,DEBIT,5.0,Groceries
"Jun 24, 2024",Paid to Tejaswini RNSIT,DEBIT,10.0,Other
"Jun 24, 2024",Paid to SANTHOSH SHETTY,DEBIT,20.0,Other
"Jun 24, 2024",Paid to SHREE,DEBIT,160.0,Other
"Jun 22, 2024",Paid to Biriyani Adda,DEBIT,80.0,Other
"Jun 21, 2024",Paid to AMRUTHA PHARMA,DEBIT,25.0,Other
"Jun 21, 2024",Paid to S V Xerox,DEBIT,6.0,Other
"Jun 20, 2024",Paid to SURESHA K,DEBIT,37.0,Other
"Jun 20, 2024",Paid to SRI KRISHNA SAGAR,DEBIT,60.0,Other
"Jun 19, 2024",Paid to Raganna (Auto),DEBIT,80.0,Other
"Jun 18, 2024",Paid to Karnataka State Road Transport Corporation,DEBIT,129.0,Other
"Jun 18, 2024",Received from Tejaswini RNSIT,CREDIT,2000.0,Other
"Jun 17, 2024",Paid to SupBOB,DEBIT,300.0,Other
"Jun 16, 2024",Paid to Tejaswini RNSIT,DEBIT,2000.0,Other
"Jun 15, 2024",Paid to VINAYAK SHETTY,DEBIT,860.0,Other
"Jun 13, 2024",Paid to,DEBIT,257.25,Other
"Jun 13, 2024",Paid to,DEBIT,257.25,Other
"Jun 13, 2024",Paid to Brahmalingeshwara condiments,DEBIT,15.0,Other
"Jun 13, 2024",Paid to S V Xerox,DEBIT,8.0,Other
"Jun 12, 2024",Paid to Sri tibbadevi ENTERPRISES,DEBIT,12.0,Other
"Jun 12, 2024",Paid to Vishikas Sip & Bite Heaven,DEBIT,25.0,Other
"Jun 11, 2024",Paid to Floor 1,DEBIT,60.0,Other
"Jun 11, 2024",Paid to SRI KRISHNA SAGAR,DEBIT,10.0,Other
"Jun 11, 2024",Paid to SRI KRISHNA SAGAR,DEBIT,25.0,Other
"Jun 10, 2024",Paid to Room Uncle,DEBIT,5000.0,Other
"Jun 10, 2024",Paid to Sri Annapurneshvari provision store,DEBIT,15.0,Other
"Jun 10, 2024",Paid to Sri Brahmalingeshwara Juice & Condiments,DEBIT,68.0,Other
"Jun 10, 2024",Paid to SRI KRISHNA SAGAR,DEBIT,65.0,Other
"Jun 09, 2024",Paid to Sri Brahmalingeshwara Juice & Condiments,DEBIT,39.0,Other
"Jun 09, 2024",Paid to SHAKIR HUSAIN,DEBIT,100.0,Other
"Jun 09, 2024",Paid to Poornima H,DEBIT,105.0,Other
"Jun 08, 2024",Paid to AMRUTHA PHARMA,DEBIT,25.0,Other
"Jun 08, 2024",Paid to Vishikas Sip & Bite Heaven,DEBIT,50.0,Other
"Jun 08, 2024",Paid to SRI KRISHNA SAGAR,DEBIT,10.0,Other
"Jun 08, 2024",Paid to Sri mailaralingeshwara,DEBIT,40.0,Other
"Jun 07, 2024",Paid to SANTHOSH SHETTY,DEBIT,28.0,Other
"Jun 07, 2024",Paid to Isiri mini mart,DEBIT,51.0,Groceries
"Jun 07, 2024",Paid to NAGESH T S,DEBIT,32.0,Other
"Jun 07, 2024",Paid to Sri Brahmalingeshwara Juice & Condiments,DEBIT,15.0,Other
"Jun 07, 2024",Paid to Soundarya RNSIT,DEBIT,10.0,Other
